genres,title_x,actors,TMDB_Genre,Vote_Average,Vote_Count
Drama|Romance,Dil Bechara,Sushant Singh Rajput|Sanjana Sanghi|Sahil Vaid|,"Drama, Romance",6.713,94.0
Comedy|Romance,Pati Patni Aur Woh,Kartik Aaryan|Bhumi Pednekar|Ananya Panday|Aparshakti Khurana|,"Comedy, Romance",6.271,35.0
Action|Thriller,Commando 3,Vidyut Jammwal|Adah Sharma|Angira Dhar|Sumeet Thakur|Mark Bennington|Simran Kaur|Atharva Vishwakarma|Abhilash Chaudhary|Feryna Wazheir|,"Action, Thriller",6.942,26.0
Action|Drama|Thriller,Mardaani 2,Rani Mukerji|Rajesh Sharma|Shruti Bapna|,"Action, Crime, Thriller",7.108,65.0
Action,Dabangg 3,Salman Khan|Sonakshi Sinha|Sudeep|Mahesh Manjrekar|Ashwami Manjrekar|Nawab Shah|Arbaaz Khan|Abhilash Chaudhary|Saiee Manjrekar|Pramod Khanna|Rajiv Kachroo|Resh Lamba|Manjit Singh|,"Action, Comedy, Crime",5.367,50.0
Comedy|Drama|Romance,Good Newwz,Akshay Kumar|Kareena Kapoor|Kiara Advani|Tisca Chopra|Gulshan Grover|Diljit Dosanjh|Tanmay Dhanania|Anjana Sukhani|Yukta Mookhey|Auritra Ghosh|Preeti Kochar|,"Romance, Comedy, Family, Drama",6.663,80.0
Comedy|Thriller,Kaalakaandi,Saif Ali Khan|,"Comedy, Thriller, Drama",6.463,27.0
Mystery|Thriller,Vodka Diaries,Kay Kay Menon|Raima Sen|Mandira Bedi|Sharib Hashmi|Rishi Bhutani|Herry Tangiri|Vaishnavi Dhanraj|Swati Rajput|Antara Srivastava|Rahul Kapoor|Suraj Thapar|Vikram Sakhalkar|,"Mystery, Thriller",6.2,12.0
Thriller,My Birthday Song,Nora Fatehi|Elena Kazan|Suparna Krishna|Pitobash|Sameer Sharma|Zenia Starr|,Thriller,5.5,2.0
Drama|Mystery|Thriller,Nirdosh,Ashmit Patel|Manjari Fadnnis|Manisha Kelkar|Akash Sinha|Geetanjali Mishra|Astad Kale|Rajkumar Kanojia|Shilpa Kadam|Feroz Bhagat|Dinesh Lamba|Salman Shaikh|Yusuf Hussain|Premnath Gulati|Himanshu Manek|,"Mystery, Thriller",5.5,2.0
Action|Drama|Sport,Mukkabaaz,Viineet Kumar|Jimmy Sheirgill|Zoya Hussain|Ravi Kishan|Rajesh Tailang|Shreedhar Dubey|Sadhana Singh|Shakti Kumar|Chittaranjan Tripathy|Sukhesh Mishra|Shikha Chauhan|Abhay Joshi|Nawazuddin Siddiqui|,Drama,7.6,37.0
Drama,Union Leader,Rahul Bhat|Tillotama Shome|,Drama,7.1,7.0
Comedy|Romance,Love per Square Foot,Vicky Kaushal|Angira Dhar|Alankrita Sahai|Raghuvir Yadav|Ratna Pathak Shah|Supriya Pathak|Brijendra Kala|Rekha Bhardwaj|Kunaal Roy Kapur|Arunoday Singh|Deepal Doshi|Raviza Chauhan|Ranbir Kapoor|Asif Ali Beg|,"Comedy, Romance",6.7,109.0
Action|Thriller,Aiyaary,Sidharth Malhotra|Manoj Bajpayee|Rakul Preet Singh|Pooja Chopra|Adil Hussain|Kumud Mishra|Naseeruddin Shah|Anupam Kher|Vikram Gokhale|Juhi Babbar|Nivedita Bhattacharya|Rajesh Tailang|Lushin Dubey|Ajit Bhure|,"Action, Thriller",5.781,48.0
Drama|History|Romance,Padmaavat,Deepika Padukone|Ranveer Singh|Shahid Kapoor|Aditi Rao Hydari|Jim Sarbh|Anupriya Goenka|Raza Murad|Ujjwal Chopra|Komal Chhabria|Lankesh Bhardwaj|Bhawani Muzamil|Hriiday Malhotra|Deepak Shreemali|Manish Wadhwa|,"Drama, History, Romance",6.917,260.0
Romance,Kuchh Bheege Alfaaz,Geetanjali Thapa|Zain Khan Durrani|Shray Rai Tiwari|Mona Ambegaonkar|Saheb Bhattacharjee|Chandrayee Ghosh|Saurav Das|Debopriya|Sahil Agarwal|Shefali Chauhan|Soumya Mukherjee|Shankhu Karmakar|Udai Shankar|Moumita|,"Romance, Drama",7.4,8.0
Drama,Jaane Kyun De Yaaron,Akshay Anand|Kabir Bedi|Hitesh Bhardwaj|Abhay Bhargav|Ravi Raj Kande|Viju Khote|Usha Nadkarni|Chetna Pande|Daya Shankar Pandey|Raghu Raja|Abhishek Sharma|Vikram Singh|Yashwant Singh|,Drama,0.0,0.0
Comedy|Romance,Veerey Ki Wedding,Pulkit Samrat|Jimmy Sheirgill|Kriti Kharbanda|Satish Kaushik|Supriya Karnik|Yuvika Chaudhry|Payal Rajput|Rajesh Bakshi|Abhishek Duhan|Sumeet Samnani|Micky Makhija|Chandan Bakshi|Nishi Singh|Vidyadhar Karmakar|,Comedy,4.4,5.0
Comedy|Romance,Sonu Ke Titu Ki Sweety,Kartik Aaryan|Nushrat Bharucha|Sunny Singh Nijjar|Alok Nath|Madhumalti Kapoor|Ishita Raj|Pawan Chopra|Ayesha Raza|Deepika Amin|Rajesh Jais|Virendra Saxena|,"Romance, Comedy",6.525,100.0
Crime|Drama|Thriller,Hate Story 4,Lee Byford|Urvashi Rautela|Gulshan Grover|Vaunisha Kapoor|Lee Nicholas Harris|Ty Hurley|Komal Chhabria|Shaad Randhawa|Atul Sharma|Manoj Anand|Daniel Eghan|Tia Bajpai|Vivan Bhatena|Swaylee Loughnane|,"Thriller, Crime, Drama",5.643,14.0
Comedy|Romance,Dil Juunglee,Taapsee Pannu|Saqib Saleem|Nidhi Singh|Srishti Shrivastava|Ayesha Kaduskar|Abhilash Thapliyal|Santosh Barmola|,"Comedy, Romance",7.0,5.0
Drama,3 Storeys,Aisha Ahmed|Tarun Anand|Richa Chadha|Gopal Das|Mallhar Goenka|Sharman Joshi|Saunskruti Kher|Omkar Kulkarni|Masumeh Makhija|Himanshu Malik|Himmat Mav|Ankit Rathi|Pulkit Samrat|Renuka Shahane|,Drama,7.0,4.0
Action|Crime|Drama,Raid,Ajay Devgn|Saurabh Shukla|Ileana D'Cruz|Amit Sial|,"Crime, Drama, Thriller, Action",7.226,95.0
Comedy|Drama,Hichki,Rani Mukerji|Sachin|Neeraj Kabi|Rohit Saraf|Jannat Zubair Rahmani|Harsh Mayar|Vikram Gokhale|Leena Acharya|Supriya Pilgaonkar|Ivan Rodrigues|Shivkumar Subramaniam|Asif Basra|Hussain Dalal|Riya Shukla|,"Drama, Comedy",7.6,126.0
Drama|Mystery|Thriller,Missing,Manoj Bajpayee|Tabu|Annu Kapoor|Rajesh Jais|Naveen Kaushik|Kali Prasad Mukherjee|Priyanka Setia|Jaswinder Gardner|Shruti Chandana|Ashu Sharma|V.M. Badola|Sudeep Sarangi|,"Thriller, Mystery, Drama",7.5,924.0
Action|Thriller,Baaghi 2,Tiger Shroff|Disha Patani|Manoj Bajpayee|Randeep Hooda|Deepak Dobriyal|Prateik|Darshan Kumaar|,"Action, Crime, Adventure, Mystery, Thriller",6.067,67.0
Drama|Romance,October,Varun Dhawan|Banita Sandhu|Gitanjali Rao|Sahil Vedoliyaa|Isha Chaturvedi|Prateek Kapoor|Iteeva Pandey|Karamveer Kanwar|Ashish Ghosh|Rachica Oswal|,"Drama, Romance",6.837,89.0
Horror|Thriller,Mercury,Prabhu Deva|Gajaraj|Ramya Nambeeshan|Indhuja Ravichandran|,Drama,0.0,0.0
Drama|Family,Beyond the Clouds,Ishaan Khattar|Malavika Mohanan|Goutam Ghose|Sharada|Tannishtha Chatterjee|Shashank Shende|Hema Singh|Akash Gopal|Dhwani Rajesh|Amruta Santosh Thakur|Shivam Pujari|,"Drama, Romance",6.2,117.0
Comedy|Drama|Horror,Nanu Ki Jaanu,Abhay Deol|Patralekhaa Paul|Rajesh Sharma|Himani Shivpuri|Manu Rishi Chadha|Brijendra Kala|Shefali Rana|Sapna Choudhary|Shreya Narayan|Manoj Pahwa|Gurmeet Singh|Mahendra Shrivas|Reshma Khan|Spandan Chaturvedi|,"Comedy, Horror",5.6,8.0
Drama|Thriller,Daas Dev,Yogesh Raj Mishra|,"Thriller, Drama",3.0,2.0
Action|Biography|Crime,Omerta,Rajkummar Rao|Rajesh Tailang|Satwant Kaur|,"Action, Drama",7.2,16.0
Action|Drama|Thriller,Raazi,Alia Bhatt|Vicky Kaushal|Rajit Kapoor|Shishir Sharma|Ashwath Bhatt|Jaideep Ahlawat|Arif Zakaria|Amruta Khanvilkar|Kanwaljit Singh|Aman Vasishth|Veer Samra|Saloni|Deepak Saini|Sima Pari|,"Thriller, Action, Drama, History",7.142,158.0
Comedy|Drama|Family,Hope Aur Hum,Naseeruddin Shah|Kabir Sajid|Virti Vaghani|Sonali Kulkarni|Aamir Bashir|Naveen Kasturia|Beena Banerjee|Neha Chauhan|Tina Sood|Pawan Mahendru|Purushotam Mulani|Deepak Kripalani|Abhishek G. Dixit|Santosh Patil|,"Comedy, Drama",6.2,3.0
Comedy,High Jack,Sumeet Vyas|Mantra Mugdh|Sonnalli Seygall|,Comedy,7.7,3.0
Comedy,Khajoor Pe Atke,Vinay Pathak|Suneeta Sengupta|Alka Amin|Manoj Pahwa|,Comedy,0.0,0.0
Action|Drama|History,Parmanu: The Story of Pokhran,John Abraham|Boman Irani|Diana Penty|Anuja Sathe|Vikas Kumar|Yogendra Tiku|Aditya Hitkari|Ajay Shankar|Darshan Pandya|Mark Bennington|,"Drama, Action, History",6.985,98.0
